MAE,TS,EXP
1.4720432180038663,1000,incoh._rotifers_algae
1.5612418173125941,1000,incoh._rotifers_algae
1.6488357334923345,1000,incoh._rotifers_algae
1.076108612486222,1000,incoh._rotifers_algae
1.4837134793946039,1000,incoh._rotifers_algae
1.6163678509110528,1000,incoh._rotifers_algae
1.648879653426673,1000,incoh._rotifers_algae
1.0745944662459028,1000,incoh._rotifers_algae
1.47705698841167,1000,incoh._rotifers_algae
1.6037162942507162,1000,incoh._rotifers_algae
1.665199535597702,1000,incoh._rotifers_algae
0.839343432767503,1,lynx_hares
0.8421072228683071,1,lynx_hares
0.8235139326465585,1,lynx_hares
0.8467085931353692,1,lynx_hares
0.8356158870072494,1,lynx_hares
0.8229477382271235,1,lynx_hares
0.8282839427311891,1,lynx_hares
0.8562328500746714,1,lynx_hares
0.8506876435649142,1,lynx_hares
0.8521901615869536,1,lynx_hares
0.8324791169444079,1,lynx_hares
0.8313230809683028,1,lynx_hares
0.8389570837629912,1,lynx_hares
0.863111511142932,1,lynx_hares
0.8348183351469,1,lynx_hares
0.827012977404005,1,lynx_hares
0.9956021695515352,10,lynx_hares
1.010300783598098,10,lynx_hares
0.9339222431070187,10,lynx_hares
0.9533536285040247,10,lynx_hares
0.8458717935310867,10,lynx_hares
0.927725947478053,10,lynx_hares
0.9432676018234547,10,lynx_hares
0.9648414741591574,10,lynx_hares
0.8229573030997176,10,lynx_hares
0.906485548403268,10,lynx_hares
0.9252188713820605,10,lynx_hares
0.9329435869135928,10,lynx_hares
0.8163943997934586,10,lynx_hares
0.902970715046816,10,lynx_hares
0.8904205185277551,10,lynx_hares
0.9365313784174537,10,lynx_hares
1.0751831191733714,100,lynx_hares
0.9734583873912552,100,lynx_hares
0.9959471230067919,100,lynx_hares
0.9392746482001061,100,lynx_hares
0.9133104938256797,100,lynx_hares
0.9088338372719948,100,lynx_hares
0.9471183618175654,100,lynx_hares
0.9797729718474831,100,lynx_hares
0.88730759716634,100,lynx_hares
0.918073026455875,100,lynx_hares
0.9243948019281123,100,lynx_hares
1.037116838752311,100,lynx_hares
0.9024760117225098,100,lynx_hares
0.9094288648211677,100,lynx_hares
0.9119288827622438,100,lynx_hares
0.9475331762771518,100,lynx_hares
1.1048020446521252,1000,lynx_hares
0.9672310672574264,1000,lynx_hares
0.9993349215346674,1000,lynx_hares
1.1414220111660478,1000,lynx_hares
0.793010874378039,1000,lynx_hares
0.9872557588086508,1000,lynx_hares
1.0227999358933266,1000,lynx_hares
1.1485542422604171,1000,lynx_hares
0.8491126913125343,1000,lynx_hares
1.0106066574435297,1000,lynx_hares
1.0419960857348518,1000,lynx_hares
1.1716680262221255,1000,lynx_hares
0.856039025027316,1000,lynx_hares
0.94116617286617,1000,lynx_hares
1.0838228705382946,1000,lynx_hares
1.1570684619082978,1000,lynx_hares
