,MAE,MASE,prediction_trend_accuracy,noise_std,1-PTA,folder
0,21532.854696085164,26.38486753426325,0.4505494505494505,baseline,0.5494505494505495,real_world_sir/tl_results
1,2863.069099845467,2.857720034140537,0.9807692307692308,4.0,0.019230769230769162,real_world_sir/tl_results
2,2639.881911057692,2.634949825486909,0.9807692307692308,16.0,0.019230769230769162,real_world_sir/tl_results
3,3787.783353365385,3.780706646053541,0.9807692307692308,16384.0,0.019230769230769162,real_world_sir/tl_results
4,2949.714865212912,2.944203919415032,0.9807692307692308,1024.0,0.019230769230769162,real_world_sir/tl_results
5,3736.285961109203,3.729305466262097,0.9807692307692308,256.0,0.019230769230769162,real_world_sir/tl_results
6,2287.059945913461,2.282787036844496,0.9807692307692308,0.0,0.019230769230769162,real_world_sir/tl_results
7,2810.042571686127,2.804792575327181,0.9807692307692308,64.0,0.019230769230769162,real_world_sir/tl_results
8,3876.056404532967,3.86881477687369,0.9807692307692308,4096.0,0.019230769230769162,real_world_sir/tl_results
9,21489.155771683672,26.331321901415382,0.5238095238095238,baseline,0.47619047619047616,real_world_sir/tl_results
10,884.7336881868132,0.8830807421822157,0.9743589743589745,4.0,0.02564102564102555,real_world_sir/tl_results
11,1028.5922046703297,1.0266704881156516,0.9743589743589745,16.0,0.02564102564102555,real_world_sir/tl_results
12,2133.824315333105,2.129837696055872,0.9807692307692308,16384.0,0.019230769230769162,real_world_sir/tl_results
13,969.8277493990385,0.968015822346953,0.967948717948718,1024.0,0.03205128205128205,real_world_sir/tl_results
14,908.2775261847528,0.9065805932793836,0.9807692307692308,256.0,0.019230769230769162,real_world_sir/tl_results
15,901.826890882555,0.9001420096849395,0.9743589743589745,0.0,0.02564102564102555,real_world_sir/tl_results
16,991.7258649553572,0.9898730257021198,0.9423076923076924,64.0,0.0576923076923076,real_world_sir/tl_results
17,938.5929666037088,0.9368393954276518,0.9807692307692308,4096.0,0.019230769230769162,real_world_sir/tl_results
18,21523.81655342425,26.373792820750825,0.4725274725274725,baseline,0.5274725274725275,real_world_sir/tl_results
19,1561.6646527300825,1.558746998092627,0.9551282051282052,4.0,0.04487179487179482,real_world_sir/tl_results
20,1410.9265753777472,1.4082905443588192,0.9743589743589745,16.0,0.02564102564102555,real_world_sir/tl_results
21,2596.142020089286,2.591291653660639,0.9807692307692308,16384.0,0.019230769230769162,real_world_sir/tl_results
22,1633.034512362637,1.6299835175733333,0.9807692307692308,1024.0,0.019230769230769162,real_world_sir/tl_results
23,1559.234578897665,1.5563214643618082,0.9807692307692308,256.0,0.019230769230769162,real_world_sir/tl_results
24,1531.8528502747251,1.528990892962257,0.9743589743589745,0.0,0.02564102564102555,real_world_sir/tl_results
25,1527.9566341861262,1.525101956165611,0.9807692307692308,64.0,0.019230769230769162,real_world_sir/tl_results
26,2167.354760473901,2.1633054963397265,0.9807692307692308,4096.0,0.019230769230769162,real_world_sir/tl_results
27,21478.68455804798,26.3184912020678,0.3278388278388278,baseline,0.6721611721611722,real_world_sir/tl_results
28,1337.850382039835,1.335350879112266,0.9743589743589745,4.0,0.02564102564102555,real_world_sir/tl_results
29,1100.591528588599,1.0985352958553312,0.9230769230769232,16.0,0.07692307692307676,real_world_sir/tl_results
30,3800.008445655906,3.792908898231012,0.9807692307692308,16384.0,0.019230769230769162,real_world_sir/tl_results
31,1780.6906228537086,1.7773637624777885,0.9743589743589745,1024.0,0.02564102564102555,real_world_sir/tl_results
32,1535.9944518372254,1.533124756779663,0.9615384615384616,256.0,0.038461538461538436,real_world_sir/tl_results
33,1099.4061856112637,1.0973521674516746,0.9294871794871796,0.0,0.07051282051282037,real_world_sir/tl_results
34,1268.9425545157967,1.2665717919309003,0.9294871794871796,64.0,0.07051282051282037,real_world_sir/tl_results
35,1476.8104717548074,1.4740513499971204,0.9551282051282052,4096.0,0.04487179487179482,real_world_sir/tl_results
36,21503.011793870188,26.348300110533632,0.5054945054945055,baseline,0.4945054945054945,real_world_sir/tl_results
37,2510.9302240728025,2.506239058655319,0.9807692307692308,4.0,0.019230769230769162,real_world_sir/tl_results
38,2192.32020518544,2.188224298165796,0.9743589743589745,16.0,0.02564102564102555,real_world_sir/tl_results
39,3344.508778331044,3.3382602399332204,0.9807692307692308,16384.0,0.019230769230769162,real_world_sir/tl_results
40,2664.2899424793954,2.659312255437167,0.9807692307692308,1024.0,0.019230769230769162,real_world_sir/tl_results
41,2611.069668612637,2.6061914128910715,0.9807692307692308,256.0,0.019230769230769162,real_world_sir/tl_results
42,1844.2885581215655,1.8408428778630013,0.9743589743589745,0.0,0.02564102564102555,real_world_sir/tl_results
43,2411.588749141484,2.4070831831832176,0.9807692307692308,64.0,0.019230769230769162,real_world_sir/tl_results
44,2793.33943595467,2.7881206460274903,0.9807692307692308,4096.0,0.019230769230769162,real_world_sir/tl_results
0,13.060312947812289,1.194691263347118,0.5217391304347826,baseline,0.4782608695652174,real_world_rosenbaum_coherent_new/tl_results
1,10.686253208215687,0.9775243056414612,0.782608695652174,4096.0,0.21739130434782605,real_world_rosenbaum_coherent_new/tl_results
2,9.93133042211118,0.9084677936984,0.7608695652173914,4.0,0.23913043478260865,real_world_rosenbaum_coherent_new/tl_results
3,9.968081975743392,0.9118296396368764,0.782608695652174,16.0,0.21739130434782605,real_world_rosenbaum_coherent_new/tl_results
4,9.803336700218312,0.8967595764512545,0.7608695652173914,64.0,0.23913043478260865,real_world_rosenbaum_coherent_new/tl_results
5,9.947156661213308,0.9099154978738286,0.782608695652174,0.0,0.21739130434782605,real_world_rosenbaum_coherent_new/tl_results
