TS,1-PTA,EXP
1000.0,0.03589743589743581,covid
1000.0,0.02051282051282044,covid
1000.0,0.033333333333333236,covid
1.0,0.27083333333333337,coh._rotifers_algae
1.0,0.25416666666666665,coh._rotifers_algae
1.0,0.25833333333333336,coh._rotifers_algae
1.0,0.2625,coh._rotifers_algae
1.0,0.275,coh._rotifers_algae
1.0,0.25,coh._rotifers_algae
1.0,0.2583333333333333,coh._rotifers_algae
1.0,0.2666666666666667,coh._rotifers_algae
1.0,0.2666666666666667,coh._rotifers_algae
1.0,0.2583333333333333,coh._rotifers_algae
1.0,0.2625,coh._rotifers_algae
1.0,0.2625,coh._rotifers_algae
1.0,0.27083333333333337,coh._rotifers_algae
1.0,0.25,coh._rotifers_algae
1.0,0.2583333333333333,coh._rotifers_algae
1.0,0.2666666666666667,coh._rotifers_algae
10.0,0.2666666666666667,coh._rotifers_algae
10.0,0.2333333333333333,coh._rotifers_algae
10.0,0.2541666666666667,coh._rotifers_algae
10.0,0.2791666666666667,coh._rotifers_algae
10.0,0.2666666666666667,coh._rotifers_algae
10.0,0.2375,coh._rotifers_algae
10.0,0.24583333333333335,coh._rotifers_algae
10.0,0.2833333333333333,coh._rotifers_algae
10.0,0.2666666666666667,coh._rotifers_algae
10.0,0.22916666666666669,coh._rotifers_algae
10.0,0.2625,coh._rotifers_algae
10.0,0.2708333333333333,coh._rotifers_algae
10.0,0.2666666666666667,coh._rotifers_algae
10.0,0.23333333333333334,coh._rotifers_algae
10.0,0.2666666666666667,coh._rotifers_algae
10.0,0.2666666666666667,coh._rotifers_algae
100.0,0.30416666666666664,coh._rotifers_algae
100.0,0.3,coh._rotifers_algae
100.0,0.2916666666666667,coh._rotifers_algae
100.0,0.2625,coh._rotifers_algae
100.0,0.3,coh._rotifers_algae
100.0,0.30416666666666664,coh._rotifers_algae
100.0,0.29583333333333334,coh._rotifers_algae
100.0,0.275,coh._rotifers_algae
100.0,0.3,coh._rotifers_algae
100.0,0.3,coh._rotifers_algae
100.0,0.29583333333333334,coh._rotifers_algae
100.0,0.2791666666666667,coh._rotifers_algae
100.0,0.3,coh._rotifers_algae
100.0,0.3,coh._rotifers_algae
100.0,0.30416666666666664,coh._rotifers_algae
100.0,0.2666666666666667,coh._rotifers_algae
1000.0,0.3083333333333333,coh._rotifers_algae
1000.0,0.2625,coh._rotifers_algae
1000.0,0.275,coh._rotifers_algae
1000.0,0.2916666666666667,coh._rotifers_algae
1000.0,0.3083333333333333,coh._rotifers_algae
1000.0,0.2708333333333333,coh._rotifers_algae
1000.0,0.2791666666666667,coh._rotifers_algae
1000.0,0.2958333333333333,coh._rotifers_algae
1000.0,0.3,coh._rotifers_algae
1000.0,0.27083333333333337,coh._rotifers_algae
1000.0,0.3125,coh._rotifers_algae
1000.0,0.29166666666666663,coh._rotifers_algae
1000.0,0.30416666666666664,coh._rotifers_algae
1000.0,0.275,coh._rotifers_algae
1000.0,0.3041666666666667,coh._rotifers_algae
1000.0,0.3125,coh._rotifers_algae
1.0,0.41500000000000004,incoh._rotifers_algae
1.0,0.4,incoh._rotifers_algae
1.0,0.38,incoh._rotifers_algae
1.0,0.4,incoh._rotifers_algae
1.0,0.41500000000000004,incoh._rotifers_algae
1.0,0.40499999999999997,incoh._rotifers_algae
1.0,0.375,incoh._rotifers_algae
1.0,0.4050000000000001,incoh._rotifers_algae
1.0,0.41500000000000004,incoh._rotifers_algae
1.0,0.4050000000000001,incoh._rotifers_algae
1.0,0.375,incoh._rotifers_algae
1.0,0.4,incoh._rotifers_algae
1.0,0.41500000000000004,incoh._rotifers_algae
1.0,0.4050000000000001,incoh._rotifers_algae
1.0,0.38,incoh._rotifers_algae
1.0,0.40499999999999997,incoh._rotifers_algae
10.0,0.4,incoh._rotifers_algae
10.0,0.425,incoh._rotifers_algae
10.0,0.43000000000000005,incoh._rotifers_algae
10.0,0.45,incoh._rotifers_algae
10.0,0.40499999999999997,incoh._rotifers_algae
10.0,0.42000000000000004,incoh._rotifers_algae
10.0,0.4050000000000001,incoh._rotifers_algae
10.0,0.45,incoh._rotifers_algae
10.0,0.40499999999999997,incoh._rotifers_algae
10.0,0.43500000000000005,incoh._rotifers_algae
10.0,0.43,incoh._rotifers_algae
10.0,0.45,incoh._rotifers_algae
10.0,0.40499999999999997,incoh._rotifers_algae
10.0,0.44000000000000006,incoh._rotifers_algae
10.0,0.425,incoh._rotifers_algae
10.0,0.45499999999999996,incoh._rotifers_algae
100.0,0.4,incoh._rotifers_algae
100.0,0.475,incoh._rotifers_algae
100.0,0.475,incoh._rotifers_algae
100.0,0.41999999999999993,incoh._rotifers_algae
100.0,0.41000000000000003,incoh._rotifers_algae
100.0,0.47000000000000003,incoh._rotifers_algae
100.0,0.475,incoh._rotifers_algae
100.0,0.42000000000000004,incoh._rotifers_algae
100.0,0.41000000000000003,incoh._rotifers_algae
100.0,0.47000000000000003,incoh._rotifers_algae
100.0,0.475,incoh._rotifers_algae
100.0,0.41,incoh._rotifers_algae
